mal_id,title_english,title_japanese,title_synonyms,genres_1,genres_2,genres_3,genres_4,genres_5,explicit_genres_1,explicit_genres_2,explicit_genres_3,explicit_genres_4,explicit_genres_5,demographics_1,demographics_2,demographics_3,themes_1,themes_2,themes_3,genres_6,genres_7,genres_8,themes_4
96528,Arifureta: From Commonplace to World's Strongest,ありふれた職業で世界最強,/From Common Job Class to the Strongest in the World,Action,Adventure,Fantasy,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
105405,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
103890,We Never Learn,ぼくたちは勉強ができない,/BokuBen/We Can't Study,Comedy,Romance,nil,nil,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,Harem,School,nil,,,,
113958,Berserk of Gluttony,暴食のベルセルク～俺だけレベルという概念を突破する～ THE COMIC,/Berserk of Gluttony: The One That Exceeds the Concept of Levels,Action,Fantasy,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
14721,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
100539,How Heavy Are the Dumbbells You Lift?,ダンベル何キロ持てる？,/How Many Kilograms are the Dumbbells You Lift?,Comedy,Ecchi,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
105328,Skeleton Knight in Another World,骸骨騎士様、只今異世界へお出掛け中,/Skeleton Knight/going out to the parallel universe,Action,Fantasy,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
103694,Gal Gohan,ギャルごはん,/Gyaru Cooking/Gyaru Gohan,Comedy,Gourmet,nil,nil,nil,nil,nil,nil,nil,nil,Seinen,nil,nil,School,nil,nil,,,,
107795,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
93519,Gleipnir,グレイプニル,nil,Action,Mystery,Supernatural,nil,nil,nil,nil,nil,nil,nil,Seinen,nil,nil,nil,nil,nil,,,,
98720,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
109608,Goblin Slayer Side Story: Year One,ゴブリンスレイヤー外伝：イヤーワン,nil,Action,Drama,Fantasy,nil,nil,nil,nil,nil,nil,nil,Seinen,nil,nil,nil,nil,nil,,,,
70345,Grand Blue Dreaming,ぐらんぶる,nil,Comedy,Slice of Life,nil,nil,nil,nil,nil,nil,nil,nil,Seinen,nil,nil,nil,nil,nil,,,,
98938,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
98712,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
110737,"Don't Toy With Me, Miss Nagatoro",イジらないで、長瀞さん,/Please don't bully me/Nagatoro,Comedy,Romance,Slice of Life,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,School,nil,nil,,,,
113626,How to Treat a Lady Knight Right,今まで一度も女扱いされたことがない女騎士を女扱いする漫画,/A story about treating a female knight who has never been treated as a woman as a woman,Comedy,Fantasy,Romance,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
104284,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
103364,The Magic in this Other World is Too Far Behind!,異世界魔法は遅れてる!,/The Different World Magic is too Behind!,Action,Fantasy,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
91714,How NOT to Summon a Demon Lord,異世界魔王と召喚少女の奴隷魔術,/The King of Darkness Another World Story: Slave Magic,Action,Comedy,Fantasy,Romance,Ecchi,nil,nil,nil,nil,nil,nil,nil,nil,Harem,nil,nil,,,,
106608,nil,異世界迷宮でハーレムを,/A Harem in the Fantasy World Dungeon,Action,Adventure,Fantasy,Romance,Erotica,nil,nil,nil,nil,nil,Shounen,nil,nil,Harem,nil,nil,,,,
110460,Farming Life in Another World,異世界のんびり農家,nil,Fantasy,Slice of Life,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
101243,nil,異世界支配のスキルテイカー～ゼロから始める奴隷ハーレム～,/Skill Taker’s World Domination: Building a Slave Harem from Scratch,Action,Fantasy,Ecchi,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,Harem,nil,nil,,,,
115310,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
100923,nil,邪竜転生,/Evil Dragon Reincarnation,Adventure,Comedy,Fantasy,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
90125,Kaguya-sama: Love is War,かぐや様は告らせたい～天才たちの恋愛頭脳戦～,/Kaguya Wants to be Confessed To: The Geniuses' War of Love and Brains,Comedy,Romance,nil,nil,nil,nil,nil,nil,nil,nil,Seinen,nil,nil,School,nil,nil,,,,
108197,Redo of Healer,回復術士のやり直し,nil,Fantasy,Erotica,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
111228,By the Grace of the Gods,神達に拾われた男,/Kamitachi ni Hirowareta Otoko/The Man Picked Up by the Gods,Adventure,Fantasy,Slice of Life,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
108407,Rent-a-Girlfriend,彼女、お借りします,/I'd like to Borrow a Girlfriend/Rental Girlfriend/KanoKari,Comedy,Romance,nil,nil,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,School,nil,nil,,,,
111770,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
99377,nil,賢者の孫,nil,Action,Comedy,Fantasy,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
94699,nil,効率厨魔導師、第二の人生で魔導を極める,/The Mage Will Master Magic Efficiently in his Second Life/Kouritsu Kuriya Madoushi/Daini no Jinsei de Madou wo Kiwameru,Fantasy,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
92890,nil,レジェンド,nil,Adventure,Fantasy,nil,nil,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,nil,nil,nil,,,,
106785,The Villager of Level 999,LV999の村人,nil,Fantasy,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
62769,Magika Swordsman and Summoner,魔技科の剣士と召喚魔王〈ヴァシレウス〉,/Magika no Kenshi to Bashireusu/Magika no Kenshi to Shoukan Maou,Action,Comedy,Fantasy,Romance,Supernatural,nil,nil,nil,nil,nil,Seinen,nil,nil,Harem,School,nil,Ecchi,,,
98156,nil,魔拳のデイドリーマー,/Demon Fist Daydreamer,Action,Adventure,Fantasy,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
113169,An Archdemon's Dilemma: How to Love Your Elf Bride,魔王の俺が奴隷エルフを嫁にしたんだが、どう愛でればいい？,/I/the Demon Lord/Took a Slave Elf as My Wife/but How Do I Love Her?,Action,Fantasy,Romance,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
116790,Mieruko-chan,見える子ちゃん,"/The Girl That Sees ""Them""/Girl That Can See It",Comedy,Horror,Supernatural,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
104247,"I am a villager, what about it?",村人ですが何か？,nil,Action,Adventure,Fantasy,nil,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,nil,nil,nil,,,,
106799,Come Together! to the Seton Academy,群れなせ！シートン学園,nil,Comedy,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,School,nil,nil,,,,
70259,Mushoku Tensei: Jobless Reincarnation,無職転生 ～異世界行ったら本気だす～,nil,Fantasy,nil,nil,nil,nil,nil,nil,nil,nil,nil,Seinen,nil,nil,nil,nil,nil,,,,
100274,"Why the hell are you here, Teacher!?",なんでここに先生が!?,/Golden Times/Why are you here Sensei!?,Comedy,Ecchi,nil,nil,nil,nil,nil,nil,nil,nil,Seinen,nil,nil,School,nil,nil,,,,
102653,nil,二度目の人生を異世界で,/Second Life in Another World,Action,Adventure,Fantasy,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
112894,The Hero Laughs While Walking the Path of Vengeance a Second Time,二度目の勇者は復讐の道を嗤い歩む,/He sneered during his second time as the hero as he tread the path of revenge/Second Time Hero is Walking the Path of Vengeance While Laughing,Action,Adventure,Drama,Fantasy,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
109947,The Unwanted Undead Adventurer,望まぬ不死の冒険者,/The Unwanted Immortal Adventurer,Action,Adventure,Fantasy,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
9115,Spice & Wolf,狼と香辛料,/Okami to Koshinryo/Spice and Wolf,Adventure,Drama,Fantasy,Romance,Supernatural,nil,nil,nil,nil,nil,nil,nil,nil,Historical,nil,nil,,,,
100079,nil,愚かな天使は悪魔と踊る,/The Foolish Angel Dances with Demons,Comedy,Romance,Supernatural,nil,nil,nil,nil,nil,nil,nil,Seinen,nil,nil,School,nil,nil,,,,
107566,My Next Life as a Villainess: All Routes Lead to Doom!,乙女ゲームの破滅フラグしかない悪役令嬢に転生してしまった…,/I Reincarnated into an Otome Game as a Villainess With Only Destruction Flags.../Destruction Flag Otome,Comedy,Drama,Fantasy,Romance,nil,nil,nil,nil,nil,nil,Josei,nil,nil,School,nil,nil,,,,
43661,Seraph of the End: Vampire Reign,終わりのセラフ,nil,Action,Drama,Supernatural,nil,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,Vampire,nil,nil,,,,
105029,Parallel Paradise,パラレルパラダイス,nil,Fantasy,Erotica,nil,nil,nil,nil,nil,nil,nil,nil,Seinen,nil,nil,Harem,nil,nil,,,,
111621,I Belong To The Baddest Girl At School,パシリな僕と恋する番長さん,nil,Comedy,Romance,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,School,nil,nil,,,,
81681,Plunderer,プランダラ,nil,Action,Fantasy,nil,nil,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,nil,nil,nil,,,,
97320,nil,監獄実験〈プリズンラボ〉,/Kangoku Jikken,Horror,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,Psychological,nil,nil,,,,
73271,Re:Monster,Re:Monster,/Reincarnated: Monster,Action,Adventure,Fantasy,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
105454,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
75487,Petals of Reincarnation,リィンカーネーションの花弁,/Reincarnation no Hanabira,Action,Mystery,Supernatural,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
95309,"Good Bye, Dragon Life.","さようなら竜生, こんにちは人生",/Goodbye Dragon Life/Hello Human Life,Action,Adventure,Fantasy,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
105430,nil,川柳少女,/Senryuu Girl,Comedy,Slice of Life,nil,nil,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,School,nil,nil,,,,
117080,The teacher can not tell me love,先生は恋を教えられない,/Sensei Can't Teach Me About Love,Comedy,Romance,Slice of Life,nil,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,School,nil,nil,,,,
107118,The Strongest Sage with the Weakest Crest,失格紋の最強賢者～世界最強の賢者が更に強くなるために転生しました～,/The Strongest Sage of Disqualified Crest,Action,Fantasy,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
109931,The brave with God's eyes,神眼の勇者,/Hero of God Eye,Action,Fantasy,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
67615,The Rising of the Shield Hero,盾の勇者の成り上がり,nil,Drama,Fantasy,nil,nil,nil,nil,nil,nil,nil,nil,Seinen,nil,nil,nil,nil,nil,,,,
82427,The New Gate,THE NEW GATE,nil,Adventure,Fantasy,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
62795,nil,トモダチゲーム,/Friend Game,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,Game,Psychological,nil,,,,
112589,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
90117,nil,月が導く異世界道中,/Moon-led Journey Across Another World,Adventure,Fantasy,nil,nil,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,nil,nil,nil,,,,
74287,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
77827,nil,渡くんの××が崩壊寸前,/Watari's XX Is on the Brink of Collapse,Comedy,Romance,Slice of Life,nil,nil,nil,nil,nil,nil,nil,Seinen,nil,nil,School,nil,nil,,,,
103436,nil,ワールド・ティーチャー 異世界式教育エージェント,/World Teacher: Other World Style Education & Agent,Action,Fantasy,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
102601,Beauty and the Feast,八雲さんは餌づけがしたい。,/Yakumo wants to feed.,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,Seinen,nil,nil,nil,nil,nil,,,,
14065,nil,夢喰いメリー,/Dream Eater Merry/Yume Kui Merry,Action,Fantasy,Supernatural,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
96582,Yuuna and the Haunted Hot Springs,ゆらぎ荘の幽奈さん,/Yuuna of Yuragi Manor,Comedy,Romance,Supernatural,Ecchi,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,Harem,nil,nil,,,,
32081,"""Aoi"" When Hikaru was on the earth","""葵"" ヒカルが地球にいたころ……",nil,Supernatural,nil,nil,nil,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,School,nil,nil,,,,
103851,The Quintessential Quintuplets,五等分の花嫁,/Gotoubun no Hanayome/The Five Wedded Brides,Comedy,Romance,nil,nil,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,Harem,School,nil,,,,
25132,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
110050,nil,僕の彼女は最高です！,/My Girlfriend is the Best!/My Perfect Girlfriend,Comedy,Romance,nil,nil,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,nil,nil,nil,,,,
49361,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
98820,nil,ダンジョンシーカー,nil,Action,Fantasy,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
3649,nil,Fate/Zero,nil,Action,Fantasy,Supernatural,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
25,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
42545,nil,Half&half,/Half and Half,Romance,Supernatural,Ecchi,nil,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,nil,nil,nil,,,,
55849,nil,ハル姉が僕に××する理由,/The Reason Haru-nee Did xx to Me,Romance,Supernatural,Ecchi,nil,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,nil,nil,nil,,,,
93640,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
696,Hayate The Combat Butler,ハヤテのごとく！,nil,Action,Comedy,Romance,nil,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,Harem,Parody,nil,,,,
58313,nil,ib -インスタントバレット-,nil,Drama,Fantasy,Supernatural,nil,nil,nil,nil,nil,nil,nil,Seinen,nil,nil,nil,nil,nil,,,,
26584,nil,鏡の国の針栖川,/Harisugawa in Mirror World,Comedy,Romance,Supernatural,Ecchi,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,nil,nil,nil,,,,
424,Princess Resurrection,怪物王女,nil,Action,Comedy,Fantasy,Horror,Supernatural,nil,nil,nil,nil,nil,Shounen,nil,nil,nil,nil,nil,,,,
2921,Maid-sama!,会長はメイド様!,/Class President Is a Maid!/Toumei na Sekai/Transparent World,Comedy,Romance,nil,nil,nil,nil,nil,nil,nil,nil,Shoujo,nil,nil,School,nil,nil,,,,
7519,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
8483,A Town Where You Live,君のいる町,/Yuna/Suzuka 2,Drama,Romance,Ecchi,nil,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,School,nil,nil,,,,
44155,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
68521,nil,金の彼女 銀の彼女,/Girl of Gold/Girl of Silver/Gold Girl & Silver Girl/Golden Girlfriend/Silver Girlfriend,Comedy,Romance,Supernatural,Ecchi,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,nil,nil,nil,,,,
91514,Boarding School Juliet,寄宿学校のジュリエット,nil,Action,Comedy,Romance,nil,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,School,nil,nil,,,,
18359,nil,ここが噂のエル・パラシオ,/Welcome to the El-Palacio/ElPala/Sebangou wa O/Sebangou wa Maru/The Number On My Back is O,Comedy,Sports,Ecchi,nil,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,Harem,nil,nil,,,,
94366,"Can You Just Die, My Darling?",今夜は月が綺麗ですが、とりあえず死ね,/I love you/so I kill you./The moon is beautiful tonight/but first/die.,Drama,Romance,Suspense,nil,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,Psychological,School,nil,,,,
57185,Today's Cerberus,今日のケルベロス,nil,Comedy,Romance,Supernatural,nil,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,Harem,nil,nil,,,,
27989,Maga-Tsuki,まがつき,/Magatsuki,Comedy,Romance,Supernatural,Ecchi,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,Harem,School,nil,,,,
50515,nil,魔王なオレと不死姫〈グール〉の指輪,/Maou na Ore to Fushihime no Yubiwa,Action,Comedy,Fantasy,Romance,Supernatural,nil,nil,nil,nil,nil,nil,nil,nil,Harem,nil,nil,Ecchi,,,
26441,"MAOYU: Archenemy and Hero ""Become mine, Hero"" ""I refuse!""",まおゆう魔王勇者 「この我のものとなれ、勇者よ」「断る!」,/Maoyu Maou Yusha/Maoyuu Maou Yuusha - 'Be mine/Hero' 'I refuse!'/Level Hero!,Action,Adventure,Comedy,Fantasy,Romance,nil,nil,nil,nil,nil,nil,nil,nil,Demons,nil,nil,,,,
30123,nil,源君物語,/Minamoto's Story,Romance,Ecchi,nil,nil,nil,nil,nil,nil,nil,nil,Seinen,nil,nil,Harem,School,nil,,,,
1745,Omamori Himari,おまもりひまり,nil,Action,Comedy,Romance,Supernatural,Ecchi,nil,nil,nil,nil,nil,nil,nil,nil,Demons,Harem,School,,,,
447,nil,オレたま,/Ore Tama/My Balls,Comedy,Romance,Ecchi,nil,nil,nil,nil,nil,nil,nil,Seinen,nil,nil,Demons,nil,nil,,,,
111942,nil,幼なじみになじみたい,nil,Comedy,Romance,nil,nil,nil,nil,nil,nil,nil,nil,Seinen,nil,nil,nil,nil,nil,,,,
52057,nil,王国ゲェム,/Kingdom Game,Horror,Mystery,Supernatural,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,Psychological,nil,nil,,,,
3031,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
28863,nil,ぺろわん！－早くシなさい！ご主人さま♪－,nil,Comedy,Romance,Supernatural,Ecchi,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,Harem,School,nil,,,,
12985,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
78477,nil,リクドウ,nil,Action,Drama,Sports,nil,nil,nil,nil,nil,nil,nil,Seinen,nil,nil,nil,nil,nil,,,,
39237,nil,ライジン×ライジン RISING×RYDEEN,nil,Action,Comedy,Romance,Sci-Fi,Supernatural,nil,nil,nil,nil,nil,nil,nil,nil,Harem,School,nil,Ecchi,,,
18597,Sankarea: Undying Love,さんかれあ,/Shiromabito,Comedy,Horror,Romance,Supernatural,Ecchi,nil,nil,nil,nil,nil,Shounen,nil,nil,nil,nil,nil,,,,
661,"Sayonara, Zetsubou-Sensei",さよなら絶望先生,/Farewell Mr. Despair,Comedy,nil,nil,nil,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,Parody,School,nil,,,,
160,School Rumble,スクールランブル,nil,Comedy,Romance,nil,nil,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,School,nil,nil,,,,
41489,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
45757,Food Wars: Shokugeki no Soma,食戟のソーマ,/Kimi to Watashi no Renai Soudan/Our Love Counseling/Shokugeki no Souma: Le Dessert,Gourmet,Ecchi,nil,nil,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,School,nil,nil,,,,
8144,nil,そらのおとしもの,/Lost Continent of the Sky/Misplaced by Heaven/Heaven's Lost Property/Lost Property of the Sky,Comedy,Drama,Romance,Sci-Fi,Ecchi,nil,nil,nil,nil,nil,Shounen,nil,nil,School,nil,nil,,,,
908,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,
37507,nil,正しいコドモの作り方！,/Tadashii Kodomo no Tsukuri kata!/The Proper Way to Grow Perfect Children/How to make the right future,Comedy,Romance,Sci-Fi,Ecchi,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,Harem,School,nil,,,,
66299,nil,正しくない恋愛のススメ,/Tadashikunai Ren'ai no Susume/Tadashiku Nai Renai no Susume,Romance,Ecchi,nil,nil,nil,nil,nil,nil,nil,nil,Seinen,nil,nil,nil,nil,nil,,,,
15805,nil,黄昏乙女×アムネジア,/Koukin Otome x Amnesia/Dusk Maiden of Amnesia,Horror,Mystery,Romance,Supernatural,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,School,nil,nil,,,,
102165,Tokidoki,刻どキ,nil,Drama,Romance,nil,nil,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,School,nil,nil,,,,
